31_1	throat cancer
31_2	treatable throat cancer
31_3	tell lung cancer throat treatable
31_4	symptoms throat cancer treatable Tell lung
31_5	can spread throat cancer treatable Tell lung symptoms
31_6	causes throat cancer treatable Tell lung symptoms Can spread
31_7	the first sign of throat cancer treatable Tell about lung its symptoms Can spread to causes
31_8	same esophageal cancer throat treatable Tell lung symptoms Can spread causes first sign
31_9	difference symptoms throat cancer treatable Tell lung Can spread causes first sign same esophageal
32_1	different types sharks
32_2	sharks endangered so species different types
32_3	tell more tiger sharks different types endangered If so species
32_4	largest lived earth different types sharks endangered species Tell tiger
32_5	biggest caught different types sharks endangered species Tell tiger largest lived Earth
32_6	great whites different types sharks endangered If so species Tell more tiger largest ever lived Earth
32_7	tell makos different types sharks endangered species Tell tiger largest lived Earth biggest caught great whites
32_8	adaptations different types sharks endangered so species Tell more tiger largest ever lived Earth biggest
32_9	where live different types sharks endangered so species Tell more tiger largest ever lived Earth biggest
32_10	eat different types of sharks endangered species Tell about tiger largest lived on Earth biggest
32_11	tigers dangerous different types sharks species tiger largest Earth biggest great whites makos adaptations
33_1	tell neverending story film
33_2	Tell Neverending Story film
33_3	how received Tell Neverending Story film
33_4	win awards Tell Neverending Story film How received
33_5	book first Tell Neverending Story film How received win awards
33_6	author published Tell Neverending Story film received win awards book
33_7	main themes Tell Neverending Story film How received win awards book first author when published
33_8	main characters Tell Neverending Story film How received win awards book first author when published themes
34_1	tell bronze age collapse
34_2	evidence Tell Bronze Age collapse
34_3	of possible causes Tell about Bronze Age collapse evidence for
34_4	sea peoples Tell Bronze Age collapse evidence possible causes
34_5	role Tell Bronze Age collapse evidence possible causes Sea Peoples
34_6	other factors led breakdown trade
34_7	environmental factors Tell Bronze Age collapse evidence possible causes Sea Peoples role other led breakdown trade
34_8	empires survived Tell Bronze Age collapse evidence possible causes Sea Peoples role other factors led breakdown trade
37_1	stanford experiment
37_2	show Stanford Experiment
37_3	tell author experiment Stanford Experiment show
37_4	ethical Stanford Experiment show Tell author experiment
37_5	other similar experiments Stanford Experiment show Tell author experiment ethical
37_6	happened milgram experiment Stanford Experiment show Tell author ethical other similar experiments
37_7	why important Stanford Experiment show Tell author experiment ethical other similar experiments happened Milgram
37_8	similarities differences between studies
40_1	origins popular music
40_2	characteristics origins popular music
40_3	technological developments enabled origins popular music characteristics
40_4	people start taking pop origins popular music characteristics technological developments enabled
40_5	integrated music education origins popular characteristics technological developments enabled people start taking pop
40_6	pop bands origins music characteristics developments people education
40_7	makes pop punk origins music characteristics developments enabled When why people start taking seriously How integrated education Describe
40_8	difference emo origins popular music characteristics technological developments enabled people start taking pop integrated education Describe influential
49_1	netflix started
49_2	how originally work How Netflix started
49_3	relationship blockbuster Netflix started work
49_4	when netflix shift dvds streaming service
49_5	other competitors How Netflix started originally work relationship Blockbuster When shift DVDs streaming service
49_6	prime video Netflix relationship Blockbuster DVDs streaming service other competitors
49_7	describe ’s subscriber growth time
49_8	how changed way tv watched How Netflix started originally work relationship Blockbuster When shift DVDs streaming service other competitors
50_1	first artificial satellite
50_2	types orbits first artificial satellite
